obra completa tomo2 ,rene zavalete mercado
el hombre bicentenario y otros cuentos,issac asimov
libro de manuel,julio cortazar
el diario del che,editora politica
por el bienestar de todos bolivia,"vicente  fretes cibils , marcelo giugale"
la guerrilla de ernesto  che guebvara en boibvia,maria del carmen garces
"justicia indigena, plurinacionalidad  e interculturalidad en bolvia","boaventura de sousa santos , jose luis exeni rodriguez"
todo modo,leonardo sciasacia
el capital ,karl marx
dos momentos del pensamiento marxista,karl marx
bolivia,lonely planet
memorias de una geisha,arthur golden
pescados,luciano imbirani
enciclopedia tematica de informatica,maveco de ediciones sa
turistel 2018 la guia turistica de chile,telefonica
gesto y fotografia historia de warisata en imagenes,carlos salazar mostajo
calculo 2 teoria de problemas,e. cupe
el sentido de la historia y las medidas geopoliticas del capital,jorge veraza urtuzuastegui
cooperaciones,labsurlab
ayer aprendimos hoy ense;amos,padem
estrategias economicas prpductivas y comerciales en america latina,secretaria general de la comunidad andina
the jolly roger underground pvc,norbert r. ibanez
el libro de do;a petrona ,petrona c. de gandulfo
cuentos para so;ar despierto,roy berocay
el estrobo,multiversal producciones
el principito,antone de saint exupery
nosotros los yungue;os,nanakax yunkas tuqinkiripxtw
mujeres indigenas territorial y biodiversidad en el contexto latinoamericano,"luz marina donato, elsa matilde escobar"
entre la protesta y el compromiso,constanza moreira
vertigo,gaston suarez
codigo de comercio,editorial cj ibanez
memoria del fuego 2,eduardo galeano
la pantalla ubicua,diego levis 
ajedrez,aura barcelona
eva y su tan,andrea maturana
perdido en la selva,ricardo marino
5 semanas en globo,julio verne
cocinando el planeta,agencia catalana de cooperacion y desarrollo
agrocombustibles,monica vargas
el furgon de los locos,carlos liscano
dentro de otro tiempo reflejos del gran canon,margaret randall
el vampiro de ropraz,jacques chessex
el informante,carlos liscano
guia y apuntes de ecuaciones diferenciales,"bobarin, lozano"
periodismo por el acceso a la informacion publica,periodismo por el acceso a la informacion publica
testimonio de vida,guillermo ulriksen becker
juan martin y nicanor,raquel martinez silva
ser joven en bolivia y vivir para contarlo,padem
todo caliban,roberto fernandez retamar
fisica,serway
movimientos sociales y la escuela en el altiplano,jose luis velasquez garambel
web of debt,ellen hodgson jd
stones witness,margaret randall
historia 3,la siembra
Reporteros sin fronteras,albin michel
ine question dhonneur,donna leon
kamikaze mozart,daniel de roulet
how the mind works,steven pinker
karl marx,
